it is common knowledge	köztudott
self-esteem	önbecsülés
privacy	magánélet
extracurricular activity	tanórán kívüli tevékenység
rough	durva, érdes
it comes in handy	jól jön
concern	aggodalom
to respond to	reagál valamire
flexible	rugalmas
felxibility	rugalmasság
challange	kihívás
to switch jobs	állást változtat
to retire	nyugdíjba megy
responsibility	felelősség
to strengthen	erősít
decition-making	döntéshozás
to participate in	részt vesz valamiben
